CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1733,patient,TL,13,1676,2122,48870.1723544098,61875.0034224688,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,14,1817,2051,52981.5651360159,59804.7276246387,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,15,1988,2369,57967.7223392403,69077.2304937929,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,16,1973,1230,57530.3401284311,35865.3412863509,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,17,2000,2674,58317.6281078876,77970.6687802457,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,18,2044,2911,59600.6159262611,84881.3077110304,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,19,2234,2257,65140.7905965105,65811.4433197512,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,20,2584,2269,75346.3755153908,66161.3490883985,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,21,2092,439,61000.2390008504,12800.7193696813,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,22,2843,2340,82898.5083553622,68231.6248862285,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,23,2993,1747,87272.3304634538,50940.4481522398,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,24,1867,1616,54439.5058387131,47120.6435111732,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,25,2051,1759,59804.7276246387,51290.3539208872,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,26,2423,1533,70651.8064527058,44700.4619446959,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,27,3289,1919,95903.3394234212,55955.7641695182,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,28,1502,2348,43796.5387090236,68464.8953986601,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,29,2018,1048,58842.4867608586,30558.4371285331,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,30,2307,1985,67269.3840224484,57880.2458970785,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,31,3196,1620,93191.5697164044,47237.278767389,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,32,2380,2665,69397.9774483863,77708.2394537603,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,33,2609,1444,76075.3458667394,42105.3274938949,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,34,1848,883,53885.4883716882,25747.2328096324,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,35,2121,658,61845.8446084148,19186.499647495,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,36,2458,803,71672.3649445939,23414.5276853169,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,37,3410,1612,99431.5559239484,47004.0082549574,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,38,3184,2878,92841.6639477571,83919.0668472503,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,39,3080,2833,89809.1472861469,82606.9202148228,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,40,3773,2619,110016.20542553,76366.9340072788,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,41,3800,2660,110803.493404986,77562.4453834905,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,42,1839,2712,53623.0590452027,79078.7037142956,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,43,1785,2775,52048.4830862897,80915.7089996941,NaN,NaN,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,44,3236,1663,94357.9222785622,48491.1077717085,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,45,2062,1640,60125.4745792321,47820.4550484678,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,46,1989,1657,57996.8811532942,48316.1548873849,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,47,1963,1616,57238.7519878917,47120.6435111732,0,0,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,48,1788,2775,52135.9595284515,80915.7089996941,NaN,NaN,29.1588140539438,6,0.833333333333333
CI1733,patient,TL,1,3244,2052,94591.1927909937,59833.8864386927,0,0,29.1588140539438,7,1
CI1733,patient,TL,2,4019,2444,117189.2736828,71264.1415478387,0,0,29.1588140539438,7,1
CI1733,patient,TL,3,2918,1868,85085.419409408,54468.664652767,0,0,29.1588140539438,7,1
CI1733,patient,TL,4,3699,2793,107858.453185538,81440.567652665,0,0,29.1588140539438,7,1
CI1733,patient,TL,5,3033,2322,88438.6830256116,67706.7662332575,0,0,29.1588140539438,7,1
CI1733,patient,TL,6,2110,1255,61525.0976538214,36594.3116376995,0,0,29.1588140539438,7,1
CI1733,patient,TL,7,3171,2745,92462.5993650558,80040.9445780758,0,0,29.1588140539438,7,1
CI1733,patient,TL,8,3195,2249,93162.4109023505,65578.1728073196,0,0,29.1588140539438,7,1
CI1733,patient,TL,9,1927,1531,56189.0346819497,44642.144316588,0,0,29.1588140539438,7,1
CI1733,patient,TL,10,2910,2435,84852.1488969765,71001.7122213532,0,0,29.1588140539438,7,1
CI1733,patient,TL,11,3143,2136,91646.1525715454,62283.226819224,0,0,29.1588140539438,7,1
CI1733,patient,TL,12,1753,2328,51115.4010365635,67881.7191175812,0,0,29.1588140539438,7,1
CI1733,patient,TL,13,1676,2122,48870.1723544098,61875.0034224688,0,0,29.1588140539438,7,1
CI1733,patient,TL,14,1817,2051,52981.5651360159,59804.7276246387,0,0,29.1588140539438,7,1
CI1733,patient,TL,15,1988,2369,57967.7223392403,69077.2304937929,0,0,29.1588140539438,7,1
CI1733,patient,TL,16,1973,1230,57530.3401284311,35865.3412863509,0,0,29.1588140539438,7,1
CI1733,patient,TL,17,2000,2674,58317.6281078876,77970.6687802457,0,0,29.1588140539438,7,1
CI1733,patient,TL,18,2044,2911,59600.6159262611,84881.3077110304,0,0,29.1588140539438,7,1
CI1733,patient,TL,19,2234,2257,65140.7905965105,65811.4433197512,0,0,29.1588140539438,7,1
CI1733,patient,TL,20,2584,2269,75346.3755153908,66161.3490883985,0,0,29.1588140539438,7,1
CI1733,patient,TL,21,2092,439,61000.2390008504,12800.7193696813,0,0,29.1588140539438,7,1
CI1733,patient,TL,22,2843,2340,82898.5083553622,68231.6248862285,0,0,29.1588140539438,7,1
CI1733,patient,TL,23,2993,1747,87272.3304634538,50940.4481522398,0,0,29.1588140539438,7,1
CI1733,patient,TL,24,1867,1616,54439.5058387131,47120.6435111732,0,0,29.1588140539438,7,1
CI1733,patient,TL,25,2051,1759,59804.7276246387,51290.3539208872,0,0,29.1588140539438,7,1
CI1733,patient,TL,26,2423,1533,70651.8064527058,44700.4619446959,0,0,29.1588140539438,7,1
CI1733,patient,TL,27,3289,1919,95903.3394234212,55955.7641695182,0,0,29.1588140539438,7,1
CI1733,patient,TL,28,1502,2348,43796.5387090236,68464.8953986601,0,0,29.1588140539438,7,1
CI1733,patient,TL,29,2018,1048,58842.4867608586,30558.4371285331,0,0,29.1588140539438,7,1
CI1733,patient,TL,30,2307,1985,67269.3840224484,57880.2458970785,0,0,29.1588140539438,7,1
CI1733,patient,TL,31,3196,1620,93191.5697164044,47237.278767389,0,0,29.1588140539438,7,1
CI1733,patient,TL,32,2380,2665,69397.9774483863,77708.2394537603,0,0,29.1588140539438,7,1
CI1733,patient,TL,33,2609,1444,76075.3458667394,42105.3274938949,0,0,29.1588140539438,7,1
CI1733,patient,TL,34,1848,883,53885.4883716882,25747.2328096324,0,0,29.1588140539438,7,1
CI1733,patient,TL,35,2121,658,61845.8446084148,19186.499647495,0,0,29.1588140539438,7,1
CI1733,patient,TL,36,2458,803,71672.3649445939,23414.5276853169,0,0,29.1588140539438,7,1
CI1733,patient,TL,37,3410,1612,99431.5559239484,47004.0082549574,0,0,29.1588140539438,7,1
CI1733,patient,TL,38,3184,2878,92841.6639477571,83919.0668472503,0,0,29.1588140539438,7,1
CI1733,patient,TL,39,3080,2833,89809.1472861469,82606.9202148228,0,0,29.1588140539438,7,1
CI1733,patient,TL,40,3773,2619,110016.20542553,76366.9340072788,0,0,29.1588140539438,7,1
CI1733,patient,TL,41,3800,2660,110803.493404986,77562.4453834905,0,0,29.1588140539438,7,1
CI1733,patient,TL,42,1839,2712,53623.0590452027,79078.7037142956,0,0,29.1588140539438,7,1
CI1733,patient,TL,43,1785,2775,52048.4830862897,80915.7089996941,NaN,NaN,29.1588140539438,7,1
CI1733,patient,TL,44,3236,1663,94357.9222785622,48491.1077717085,0,0,29.1588140539438,7,1
CI1733,patient,TL,45,2062,1640,60125.4745792321,47820.4550484678,0,0,29.1588140539438,7,1
CI1733,patient,TL,46,1989,1657,57996.8811532942,48316.1548873849,0,0,29.1588140539438,7,1
CI1733,patient,TL,47,1963,1616,57238.7519878917,47120.6435111732,0,0,29.1588140539438,7,1
CI1733,patient,TL,48,1788,2775,52135.9595284515,80915.7089996941,NaN,NaN,29.1588140539438,7,1
CI1733,patient,TL,1,3244,2052,94591.1927909937,59833.8864386927,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,2,4019,2444,117189.2736828,71264.1415478387,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,3,2918,1868,85085.419409408,54468.664652767,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,4,3699,2793,107858.453185538,81440.567652665,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,5,3033,2322,88438.6830256116,67706.7662332575,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,6,2110,1255,61525.0976538214,36594.3116376995,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,7,3171,2745,92462.5993650558,80040.9445780758,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,8,3195,2249,93162.4109023505,65578.1728073196,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,9,1927,1531,56189.0346819497,44642.144316588,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,10,2910,2435,84852.1488969765,71001.7122213532,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,11,3143,2136,91646.1525715454,62283.226819224,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,12,1753,2328,51115.4010365635,67881.7191175812,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,13,1676,2122,48870.1723544098,61875.0034224688,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,14,1817,2051,52981.5651360159,59804.7276246387,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,15,1988,2369,57967.7223392403,69077.2304937929,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,16,1973,1230,57530.3401284311,35865.3412863509,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,17,2000,2674,58317.6281078876,77970.6687802457,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,18,2044,2911,59600.6159262611,84881.3077110304,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,19,2234,2257,65140.7905965105,65811.4433197512,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,20,2584,2269,75346.3755153908,66161.3490883985,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,21,2092,439,61000.2390008504,12800.7193696813,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,22,2843,2340,82898.5083553622,68231.6248862285,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,23,2993,1747,87272.3304634538,50940.4481522398,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,24,1867,1616,54439.5058387131,47120.6435111732,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,25,2051,1759,59804.7276246387,51290.3539208872,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,26,2423,1533,70651.8064527058,44700.4619446959,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,27,3289,1919,95903.3394234212,55955.7641695182,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,28,1502,2348,43796.5387090236,68464.8953986601,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,29,2018,1048,58842.4867608586,30558.4371285331,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,30,2307,1985,67269.3840224484,57880.2458970785,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,31,3196,1620,93191.5697164044,47237.278767389,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,32,2380,2665,69397.9774483863,77708.2394537603,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,33,2609,1444,76075.3458667394,42105.3274938949,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,34,1848,883,53885.4883716882,25747.2328096324,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,35,2121,658,61845.8446084148,19186.499647495,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,36,2458,803,71672.3649445939,23414.5276853169,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,37,3410,1612,99431.5559239484,47004.0082549574,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,38,3184,2878,92841.6639477571,83919.0668472503,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,39,3080,2833,89809.1472861469,82606.9202148228,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,40,3773,2619,110016.20542553,76366.9340072788,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,41,3800,2660,110803.493404986,77562.4453834905,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,42,1839,2712,53623.0590452027,79078.7037142956,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,43,1785,2775,52048.4830862897,80915.7089996941,NaN,NaN,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,44,3236,1663,94357.9222785622,48491.1077717085,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,45,2062,1640,60125.4745792321,47820.4550484678,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,46,1989,1657,57996.8811532942,48316.1548873849,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,47,1963,1616,57238.7519878917,47120.6435111732,0,0,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,48,1788,2775,52135.9595284515,80915.7089996941,NaN,NaN,29.1588140539438,8,1.16666666666667
CI1733,patient,TL,1,3244,2052,94591.1927909937,59833.8864386927,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,2,4019,2444,117189.2736828,71264.1415478387,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,3,2918,1868,85085.419409408,54468.664652767,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,4,3699,2793,107858.453185538,81440.567652665,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,5,3033,2322,88438.6830256116,67706.7662332575,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,6,2110,1255,61525.0976538214,36594.3116376995,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,7,3171,2745,92462.5993650558,80040.9445780758,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,8,3195,2249,93162.4109023505,65578.1728073196,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,9,1927,1531,56189.0346819497,44642.144316588,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,10,2910,2435,84852.1488969765,71001.7122213532,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,11,3143,2136,91646.1525715454,62283.226819224,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,12,1753,2328,51115.4010365635,67881.7191175812,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,13,1676,2122,48870.1723544098,61875.0034224688,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,14,1817,2051,52981.5651360159,59804.7276246387,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,15,1988,2369,57967.7223392403,69077.2304937929,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,16,1973,1230,57530.3401284311,35865.3412863509,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,17,2000,2674,58317.6281078876,77970.6687802457,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,18,2044,2911,59600.6159262611,84881.3077110304,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,19,2234,2257,65140.7905965105,65811.4433197512,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,20,2584,2269,75346.3755153908,66161.3490883985,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,21,2092,439,61000.2390008504,12800.7193696813,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,22,2843,2340,82898.5083553622,68231.6248862285,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,23,2993,1747,87272.3304634538,50940.4481522398,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,24,1867,1616,54439.5058387131,47120.6435111732,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,25,2051,1759,59804.7276246387,51290.3539208872,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,26,2423,1533,70651.8064527058,44700.4619446959,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,27,3289,1919,95903.3394234212,55955.7641695182,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,28,1502,2348,43796.5387090236,68464.8953986601,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,29,2018,1048,58842.4867608586,30558.4371285331,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,30,2307,1985,67269.3840224484,57880.2458970785,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,31,3196,1620,93191.5697164044,47237.278767389,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,32,2380,2665,69397.9774483863,77708.2394537603,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,33,2609,1444,76075.3458667394,42105.3274938949,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,34,1848,883,53885.4883716882,25747.2328096324,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,35,2121,658,61845.8446084148,19186.499647495,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,36,2458,803,71672.3649445939,23414.5276853169,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,37,3410,1612,99431.5559239484,47004.0082549574,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,38,3184,2878,92841.6639477571,83919.0668472503,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,39,3080,2833,89809.1472861469,82606.9202148228,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,40,3773,2619,110016.20542553,76366.9340072788,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,41,3800,2660,110803.493404986,77562.4453834905,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,42,1839,2712,53623.0590452027,79078.7037142956,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,43,1785,2775,52048.4830862897,80915.7089996941,NaN,NaN,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,44,3236,1663,94357.9222785622,48491.1077717085,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,45,2062,1640,60125.4745792321,47820.4550484678,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,46,1989,1657,57996.8811532942,48316.1548873849,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,47,1963,1616,57238.7519878917,47120.6435111732,0,0,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,48,1788,2775,52135.9595284515,80915.7089996941,NaN,NaN,29.1588140539438,9,1.33333333333333
CI1733,patient,TL,1,3244,2052,94591.1927909937,59833.8864386927,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,2,4019,2444,117189.2736828,71264.1415478387,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,3,2918,1868,85085.419409408,54468.664652767,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,4,3699,2793,107858.453185538,81440.567652665,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,5,3033,2322,88438.6830256116,67706.7662332575,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,6,2110,1255,61525.0976538214,36594.3116376995,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,7,3171,2745,92462.5993650558,80040.9445780758,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,8,3195,2249,93162.4109023505,65578.1728073196,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,9,1927,1531,56189.0346819497,44642.144316588,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,10,2910,2435,84852.1488969765,71001.7122213532,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,11,3143,2136,91646.1525715454,62283.226819224,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,12,1753,2328,51115.4010365635,67881.7191175812,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,13,1676,2122,48870.1723544098,61875.0034224688,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,14,1817,2051,52981.5651360159,59804.7276246387,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,15,1988,2369,57967.7223392403,69077.2304937929,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,16,1973,1230,57530.3401284311,35865.3412863509,0,0,29.1588140539438,10,1.5
CI1733,patient,TL,17,2000,2674,58317.6281078876,77970.6687802457,0,0,29.1588140539438,10,1.5
